,ts,sunf
0,2021-08-01 08:10:03,
1,2021-08-01 08:25:49,946.0
2,2021-08-01 08:32:12,383.0
3,2021-08-01 08:35:24,192.0
4,2021-08-01 08:45:27,603.0
5,2021-08-01 09:02:09,1002.0
6,2021-08-01 09:06:22,253.0
7,2021-08-01 09:26:18,1196.0
8,2021-08-01 09:28:31,133.0
9,2021-08-01 09:35:05,394.0
10,2021-08-01 09:54:14,1149.0
11,2021-08-01 10:02:32,498.0
12,2021-08-01 10:12:11,579.0
13,2021-08-01 10:14:54,163.0
14,2021-08-01 10:25:53,659.0
15,2021-08-01 10:29:27,214.0
16,2021-08-01 10:31:12,105.0
17,2021-08-01 10:40:05,533.0
18,2021-08-01 10:55:48,943.0
19,2021-08-01 11:02:24,396.0
20,2021-08-01 11:14:07,703.0
21,2021-08-01 11:19:54,347.0
22,2021-08-01 11:21:57,123.0
23,2021-08-01 11:47:06,1509.0
24,2021-08-01 11:49:04,118.0
25,2021-08-01 12:09:23,1219.0
26,2021-08-01 12:11:10,107.0
27,2021-08-01 12:12:02,52.0
28,2021-08-01 12:12:34,32.0
29,2021-08-01 12:36:28,1434.0
30,2021-08-01 12:39:37,189.0
31,2021-08-01 12:41:29,112.0
32,2021-08-01 12:54:13,764.0
33,2021-08-01 13:08:48,875.0
34,2021-08-01 13:23:10,862.0
35,2021-08-01 13:27:25,255.0
36,2021-08-01 13:34:29,424.0
37,2021-08-01 13:41:48,439.0
38,2021-08-01 14:04:48,1380.0
39,2021-08-01 14:07:01,133.0
40,2021-08-01 14:17:00,599.0
41,2021-08-01 14:23:49,409.0
42,2021-08-01 14:31:28,459.0
43,2021-08-01 14:39:58,510.0
44,2021-08-01 14:46:02,364.0
45,2021-08-01 14:53:23,441.0
46,2021-08-01 15:09:19,956.0
47,2021-08-01 15:10:19,60.0
48,2021-08-01 15:41:25,1866.0
49,2021-08-01 16:13:17,1912.0
50,2021-08-01 16:16:05,168.0
51,2021-08-01 16:18:20,135.0
52,2021-08-01 16:20:14,114.0
53,2021-08-01 16:21:23,69.0
54,2021-08-01 16:23:56,153.0
55,2021-08-01 16:24:55,59.0
56,2021-08-01 16:45:38,1243.0
57,2021-08-01 16:46:26,48.0
58,2021-08-01 16:49:47,201.0
59,2021-08-01 16:53:49,242.0
60,2021-08-02 08:42:16,56907.0
61,2021-08-02 08:50:31,495.0
62,2021-08-02 09:03:17,766.0
63,2021-08-02 09:28:40,1523.0
64,2021-08-02 09:40:56,736.0
65,2021-08-02 10:03:21,1345.0
66,2021-08-02 10:33:41,1820.0
67,2021-08-02 10:38:00,259.0
68,2021-08-02 11:02:51,1491.0
69,2021-08-02 11:07:26,275.0
70,2021-08-02 11:12:20,294.0
71,2021-08-02 11:13:21,61.0
72,2021-08-02 11:18:28,307.0
73,2021-08-02 11:33:41,913.0
74,2021-08-02 11:57:00,1399.0
75,2021-08-02 12:31:50,2090.0
76,2021-08-02 12:50:04,1094.0
77,2021-08-02 13:23:23,1999.0
78,2021-08-02 13:31:28,485.0
79,2021-08-02 13:54:26,1378.0
80,2021-08-02 14:03:19,533.0
81,2021-08-02 14:12:42,563.0
82,2021-08-02 14:37:37,1495.0
83,2021-08-02 14:50:50,793.0
84,2021-08-02 15:05:26,876.0
85,2021-08-02 15:41:09,2143.0
86,2021-08-02 15:45:53,284.0
87,2021-08-02 16:30:09,2656.0
88,2021-08-02 16:32:46,157.0
89,2021-08-02 16:47:02,856.0
90,2021-08-03 08:27:10,56408.0
91,2021-08-03 08:40:38,808.0
92,2021-08-03 08:56:11,933.0
93,2021-08-03 09:02:08,357.0
94,2021-08-03 09:04:28,140.0
95,2021-08-03 09:21:39,1031.0
96,2021-08-03 09:25:27,228.0
97,2021-08-03 10:03:16,2269.0
98,2021-08-03 10:13:27,611.0
99,2021-08-03 10:31:36,1089.0
100,2021-08-03 10:42:32,656.0
101,2021-08-03 10:56:22,830.0
102,2021-08-03 11:06:02,580.0
103,2021-08-03 11:08:36,154.0
104,2021-08-03 11:58:42,3006.0
105,2021-08-03 12:13:44,902.0
106,2021-08-03 12:22:29,525.0
107,2021-08-03 12:23:19,50.0
108,2021-08-03 12:46:55,1416.0
109,2021-08-03 12:48:46,111.0
110,2021-08-03 12:58:42,596.0
111,2021-08-03 13:08:13,571.0
112,2021-08-03 13:09:11,58.0
113,2021-08-03 13:16:14,423.0
114,2021-08-03 13:29:47,813.0
115,2021-08-03 13:56:03,1576.0
116,2021-08-03 13:57:57,114.0
117,2021-08-03 14:46:50,2933.0
118,2021-08-03 15:47:56,3666.0
119,2021-08-03 16:47:10,3554.0
120,2021-08-04 08:23:00,56150.0
121,2021-08-04 08:39:33,993.0
122,2021-08-04 08:54:25,892.0
123,2021-08-04 08:59:04,279.0
124,2021-08-04 09:12:02,778.0
125,2021-08-04 09:49:42,2260.0
126,2021-08-04 09:58:09,507.0
127,2021-08-04 10:11:05,776.0
128,2021-08-04 10:18:36,451.0
129,2021-08-04 10:27:34,538.0
130,2021-08-04 10:28:51,77.0
131,2021-08-04 11:14:16,2725.0
132,2021-08-04 11:18:16,240.0
133,2021-08-04 11:19:43,87.0
134,2021-08-04 12:50:53,5470.0
135,2021-08-04 12:55:45,292.0
136,2021-08-04 13:12:56,1031.0
137,2021-08-04 13:21:30,514.0
138,2021-08-04 13:47:20,1550.0
139,2021-08-04 13:52:28,308.0
140,2021-08-04 14:12:05,1177.0
141,2021-08-04 14:26:03,838.0
142,2021-08-04 14:31:06,303.0
143,2021-08-04 14:48:53,1067.0
144,2021-08-04 14:56:40,467.0
145,2021-08-04 14:56:47,7.0
146,2021-08-04 15:02:10,323.0
147,2021-08-04 16:10:18,4088.0
148,2021-08-04 16:21:14,656.0
149,2021-08-04 16:27:24,370.0
150,2021-08-05 08:00:29,55985.0
151,2021-08-05 08:16:24,955.0
152,2021-08-05 08:35:15,1131.0
153,2021-08-05 10:04:37,5362.0
154,2021-08-05 10:16:34,717.0
155,2021-08-05 10:21:09,275.0
156,2021-08-05 10:34:32,803.0
157,2021-08-05 10:34:36,4.0
158,2021-08-05 12:11:15,5799.0
159,2021-08-05 12:13:23,128.0
160,2021-08-05 12:25:20,717.0
161,2021-08-05 12:31:24,364.0
162,2021-08-05 12:35:10,226.0
163,2021-08-05 12:41:53,403.0
164,2021-08-05 12:58:47,1014.0
165,2021-08-05 13:05:03,376.0
166,2021-08-05 13:43:26,2303.0
167,2021-08-05 14:05:05,1299.0
168,2021-08-05 14:24:32,1167.0
169,2021-08-05 14:30:14,342.0
170,2021-08-05 15:00:05,1791.0
171,2021-08-05 15:09:27,562.0
172,2021-08-05 15:09:31,4.0
173,2021-08-05 15:22:23,772.0
174,2021-08-05 15:33:10,647.0
175,2021-08-05 15:41:29,499.0
176,2021-08-05 16:25:38,2649.0
177,2021-08-05 16:27:21,103.0
178,2021-08-05 16:33:24,363.0
179,2021-08-05 16:37:53,269.0
180,2021-08-06 08:08:43,55850.0
181,2021-08-06 08:19:36,653.0
182,2021-08-06 08:22:58,202.0
183,2021-08-06 08:27:26,268.0
184,2021-08-06 08:29:20,114.0
185,2021-08-06 08:51:23,1323.0
186,2021-08-06 09:01:01,578.0
187,2021-08-06 09:02:18,77.0
188,2021-08-06 09:30:24,1686.0
189,2021-08-06 09:33:17,173.0
190,2021-08-06 10:00:01,1604.0
191,2021-08-06 10:24:56,1495.0
192,2021-08-06 10:30:38,342.0
193,2021-08-06 11:08:27,2269.0
194,2021-08-06 11:37:59,1772.0
195,2021-08-06 11:44:32,393.0
196,2021-08-06 11:58:13,821.0
197,2021-08-06 12:41:53,2620.0
198,2021-08-06 13:42:43,3650.0
199,2021-08-06 13:50:57,494.0
200,2021-08-06 14:01:05,608.0
201,2021-08-06 14:22:47,1302.0
202,2021-08-06 14:23:19,32.0
203,2021-08-06 14:30:12,413.0
204,2021-08-06 14:31:01,49.0
205,2021-08-06 14:43:36,755.0
206,2021-08-06 15:54:48,4272.0
207,2021-08-06 16:43:48,2940.0
208,2021-08-06 16:48:50,302.0
209,2021-08-06 16:57:24,514.0
210,2021-08-07 08:12:03,54879.0
211,2021-08-07 08:38:18,1575.0
212,2021-08-07 08:42:36,258.0
213,2021-08-07 09:03:39,1263.0
214,2021-08-07 09:05:18,99.0
215,2021-08-07 09:21:59,1001.0
216,2021-08-07 09:27:17,318.0
217,2021-08-07 10:03:22,2165.0
218,2021-08-07 10:12:33,551.0
